album_uri,album_name,release_date
214nf2L35OVQLhX7yUyfKQ,Melting Sun,2014-05-02
2c4cBfQgxCqw0FSM0Ti0XV,Imagination,2020-06-07
1GzCmHwV9EIjXxK7E3spXl,Wait For Me,2009-06-26
7eAJgISHqRsXGToqU6R1s3,The Legend of Zelda - Ocarina of Time (Mastered),2012-08-09
51fF4JNsyx99YAWixRgmVh,Eternal Kingdom,1905-06-30
4HkJY32VqysPCNIrcYe46J,Oriana,2018-01-08
1vCADALmxMqwx66tha2Cb5,Lavender Town (from Pokemon Red and Blue),2014-02-14
6OQXBWSqBHF8A0VfOXG2Xh,The Legend of Zelda: The Twilight Princess,2014-12-02
6JtdtwTIt1rZ5TEbvxzaUC,Lavender Town,2018-11-08
2EJIGjaVFq9PKinjyA9yOn,Chopin: Complete Nocturnes,2010-06-22
48D1hRORqJq52qsnUYZX56,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),1972-06-06
6fQElzBNTiEMGdIeY0hy5l,Hunky Dory (2015 Remaster),1971-12-17
08iSi4GIyoDt2zSvNyru7M,Loner,2017-05-19
5EN2Buchl53OWxtlQvz4GF,Hole,2014-08-25
7wGLeeJt18EBjc181FP2cM,Mister Asylum,2015-07-17
338yWfNJWW2SXxVfIdczUD,The Best of The Monkees,1905-06-25
58HZZpS0wxJKwGjoerg0mk,Songs For The Deaf,1905-06-24
2SPrl8C8pgSM5gXbAiyJHY,MADE,2016-12-13
6DRfmdNDiTsTVACn9gavR0,I'm Not Cool,2021-01-28
5FWFzgv8irO6Rrs3CAJ4L9,Melting,2016-02-26
6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10
3lng6RAtdksQ2q02Fk5jaB,THE E.N.D. (THE ENERGY NEVER DIES),2009-01-01
1azUkThwd2HfUDdeNeT147,21,2011-01-19
1pl9uWuNFtZ3eBcSpnmL9r,Stank Face,2023-01-13
6h5287IFR86ZpS7TnxU0Z6,Remember Us to Life (Deluxe),2016-09-30
6XytvZqOIfnUlCerrbOMMo,Andy Grammer,2011-01-01
3Etyu2JmgiQTQztLz6RxDX,What We Saw from the Cheap Seats,2012-05-25
2Rwf2nPYZQ9aIe4QXACTC7,Live Through This,1994-01-01
0izGGxTiCAzk9Sgu8loZTe,What Was Not Now,2021-10-15
0PT5m6hwPRrpBwIHVnvbFX,Help! (Remastered),1965-08-06
5YpK59N59zCX7Hkc9aBiGv,Fresh Eyes,2016-01-01
0eFHYz8NmK75zSplL5qlfM,The Resistance,2009-09-10
0lw68yx3MhKflWFqCsGkIs,Black Holes and Revelations,2006-06-19
0h2knr6qpiAq0tV5ri5JMF,The Days / Nights,2014-01-01
294yFGYq9SBXWR4g6dK63D,Pieces Of Eight,1978-01-01
0A0F3AqFbEy1ZQgJwAXFzm,The Essential Backstreet Boys,2013-09-26
2k8KgmDp9oHrmu0MIj4XDE,Is This It,2001-07-30
64fQ94AVziavTPdnkCS6Nj,Bad Blood,2013-01-01
30ly6F6Xl0TKmyBCU50Khv,The Colour And The Shape,1997-05-20
4X87hQ57jTYQTcYTaJWK5w,Even In The Quietest Moments,1977-01-01
7vEJAtP3KgKSpOHVgwm3Eh,1 (Remastered),2000-11-13
5wSX76l2RgF4wIzxSBaVXD,The Loneliest Time (feat. Rufus Wainwright),2022-10-07
5Dbax7G8SWrP9xyzkOvy2F,The Wall,1979-11-30
3GH4IiI6jQAIvnHVdb5FB6,Loveless,1991-11-04
0dZF93WHyOhTWjz5EWM7yG,Fragile (Deluxe Edition),1971-11-26
7r36rel1M4gyBavfcJP6Yz,The Essential Billy Joel,2001-10-02
0ssMZRCnobXKQXjQ2R5A5a,Begin to Hope (Special Edition),2006-06-13
1tHCrKGWMtcXhHJrFzbF8F,Darwin's House Of Second Chances,2022-06-18
0xtTojp4zfartyGtbFKN3v,Crack-Up,2017-06-16
4h9rWFWhgCSSrvIEQ0YhYG,The Man Who Sold the World (2015 Remaster),1970-11-04
28P0TxFIZ9QaiQ49RPjumi,Plant Music Vol. 1,2021-11-02
44Ig8dzqOkvkGDzaUof9lK,Led Zeppelin IV (Deluxe Edition),1971-11-08
7D2GIBF8kzc2WDouhqoRa4,FOIL,2021-06-25
00uqjqwLruO346z3cNlNqG,Cheap Queen,2019-10-25
6aIUqbBn9Nq0k3X2iqozWL,Squishy Caterpillars Riding On Bullets,2021-08-22
1dJpgn1rqvvr4yyNYLEYBG,Crowded House,1986-01-01
0BwWUstDMUbgq2NYONRqlu,Rumours (Super Deluxe),1977-02-04
3bzgbgiytguTDnwzflAZr2,Bookends,1968-04-03
4NBFFGWZqYd06XlBPEmgMX,Hazy Shade of Winter (feat. Ray Toro),2019-01-24
1uD1kdwTWH1DZQZqGKz6rY,Jubilee,2021-06-04
3T9UKU0jMIyrRD0PtKXqPJ,Cornell 5/8/77 (Live),2017-05-05
3uN87hwClF0hult2cxMbAW,Yesterday Today Tomorrow - The Greatest Hits Of Kenny Loggins,1997-03-25
2ss0g53nagKtGnoYjwo77Q,Al Green Explores Your Mind,1974-10-02
4I5zzKYd2SKDgZ9DRf5LVk,Heroes (2017 Remaster),1905-05-30
6QaVfG1pHYl1z15ZxkvVDW,Sgt. Pepper's Lonely Hearts Club Band (Remastered),1967-06-01
1RzrSgWinUzgsnw3oQDXOy,Red Rose Speedway (Archive Collection),1973-04-30
76mS9MKoMOpHVWMODDaFSf,Baboon Strength,2008-09-09
1Mhn9VosyjtWn4dMPFlna6,The Stranger (Legacy Edition),1905-05-30
71phqXMIHQNz7qLUWMl7Sy,Kindness A Rebel,2018-06-08
4NwG11AsDJluT732lSjMrV,Let's Dance (2018 Remaster),1983-04-14
50o7kf2wLwVmOTVYJOTplm,Rubber Soul (Remastered),1965-12-03
4kxbcsTJEJYfxYV0QuAR9T,Cardboard Castles,2013-03-12
2BtE7qm1qzM80p9vLSiXkj,Magical Mystery Tour (Remastered),1967-11-27
2OZbaW9tgO62ndm375lFZr,Madman Across The Water,1971-11-05
3R3x4zIabsvpD3yxqLaUpc,An Innocent Man,1983-08-08
2ei2X6ghPnw7YRwQtAH075,Honky Chateau,1972-05-19
0o1uFxZ1VTviqvNaYkTJek,The Freewheelin' Bob Dylan,1963-05-27
10jsW2NYd9blCrDITMh2zS,American Pie,1905-05-24
5uU2uM1RGHfzlA12opjqol,Slippery When Wet,1986-01-01
3PRoXYsngSwjEQWR5PsHWR,Revolver (Remastered),1966-08-05
0PMasrHdpaoIRuHuhHp72O,Born In The U.S.A.,1984-06-04
1uyf3l2d4XYwiEqAb7t7fX,Doo-Wops and Hooligans,2010-10-05
3kndSWeE2IYOrZEToZrHEV,Nine Track Mind,2016-01-29
5cT7ee1sy2oEbFalP4asS4,Tommy,1969-05-23
7nCWzcMZanUBPZgZaKpzM6,Too Rye Ay,1982-07-22
1Vw2uoVkLAJFVViJ1QyK1D,Storm Front,1989-10-17
3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams,2015-12-04
6ZrfrNHcBmiL31GSLUgBMa,Young Mister,2016-06-24
0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),1969-09-26
0RHX9XECH8IVI3LNgWDpmQ,A Rush of Blood to the Head,2002-08-08
