artist_uri,artist_name
1cbBzQxiKcZCsit68iTbTJ,Lantlos
4hkHAVlTVsZxt1CwaKlNVk,iGerman
3OsRAKCvk37zwYcnzRf5XF,Moby
0fagNxnyvy6FDvkNPt6X29,Monsalve
7E7fJJpdVgr1F3pfAfRtHe,Cult Of Luna
7CGrRQY8pl3vY1wqoF4WMZ,Roger Zarzour
0Vb15td3iKkAzdGD5Sj9Ky,NateWantsToBattle
2dB3VxAmEw5Dqewiha1oO1,The Greatest Bits
2QwCbOdVcxKTWMTjsCCyQ1,CYBRPNK
7y97mc3bZRFXzT2szRM4L4,Frederic Chopin
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie
2HOMW1liAxI3URnEq95SMS,MISSIO
2S5hlvw4CMtMGswFtfdK15,Royal Blood
2pqd3HsfsvcBGtHvPOg6eg,Highly Suspect
320EPCSEezHt1rtbfwH6Ck,The Monkees
4pejUc4iciQfgdX6OKulQn,Queens of the Stone Age
4Kxlr1PRlDKEB0ekOCyHgX,BIGBANG
3UwlejyX2b458azZ7eCnHb,HyunA
0XATRDCYuuGhk0oE7C0o5G,MAMAMOO
06HL4z0CvFAxyc27GXpf02,Taylor Swift
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas
4dpARuHxo51G3z768sgnrY,Adele
1e16kiJQtCTveTl7TQnkFN,Scary Pockets
3z6Gk257P9jNcZbBXJNX5i,Regina Spektor
2oX42qP5ineK3hrhBECLmj,Andy Grammer
5SHQUMAmEK5KmuSb0aDvsn,Hole
5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez
3WrFJ7ztbogyGnTHbHJFl2,The Beatles
12Chz98pHFMPJEknJQMWvI,Muse
1vCWHaC5f2uS3yhpwWbIA6,Avicii
4salDzkGmfycRqNUbyBphh,Avicii
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys
0epOFNiUfyON9EYx7Tpr6V,The Strokes
7EQ0qTo7fWT7DPxmxtSYEc,Bastille
7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters
3JsMj0DEzyWc0VDlHuy9Bx,Supertramp
6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd
3G3Gdm0ZRAOxLrbyjfhii5,my bloody valentine
7AC976RDJzL2asmZuz7qil,Yes
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel
5D8TBtxnP5GZm9wUBQ8OTc,Istasha
4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes
0a5RCK5J5b6GVzHVcEO05o,Modern Biology
36QJpDe2go2KgaRleHCDTp,Led Zeppelin
6U1dV7aL68N7Gb0Naq34V5,REI AMI
6beUvFUlKliUYJdLOXNj9C,King Princess
7ohlPA8dRBtCf92zaZCaaB,Crowded House
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac
70cRZdQywnSFp9pnc2WTCE,Simon and Garfunkel
4YZ5ECfbM2xSTSQTJGBbO5,Gerard Way
7MoIc5s9KXolCBH1fy9kkw,Japanese Breakfast
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead
3Y3xIwWyq5wnNHPp5gPjOW,Kenny Loggins
3dkbV4qihUeMsqN4vBGg93,Al Green
3sFhA6G1N0gG1pszb6kk1m,Wings
0si9BxvM2C33fAIkr1pgUc,Charlie Hunter
7gRGh8w4G9zaFJSaIYp8HH,River Whyless
3mJ9GlkLzj8Ka7Z7EQaCMi,Watsky
3PhoLpVuITZKcymswpck5b,Elton John
74ASZWbe4lXaubB36ztrGX,Bob Dylan
1gRNBaI4yn6wCCTvRhGWh8,Don McLean
58lV9VcRSjABbAbfWS6skp,Bon Jovi
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen
0du5cEVh5yTK9QJze8zA0C,Bruno Mars
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth
67ea9eGLXYMsO2eYQRui3w,The Who
4QTVePrFu1xuGM9K0kNXkk,Dexys Midnight Runners
4gzpq5DPGxSnKTe4SA8HAU,Coldplay
4NuiDXtUaaclXGNEPQYBBx,Young Mister
7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival
6hN9F0iuULZYWXppob22Aj,Simple Minds
6kz53iCdBSqhQCZ21CoLcc,Culture Club
6olE6TJLqED3rqDCT0FyPh,Nirvana
0ECwFtbIWEVNwjlrfc6xoL,Eagles
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
2UZMlIwnkgAEDBsw1Rejkn,Tom Petty
5NGO30tJxFlKixkPSgXcFE,The Police
5rwUYLyUq8gBsVaOUcUxpE,Lawrence
44NX2ffIYHr6D4n7RaZF7A,Van Morrison
4NZvixzsSefsNiIqXn0NDe,Maggie Rogers
3RGLhK1IP9jnYFH4BRFJBS,The Clash
4aXXDj9aZnlshx7mzj3W1N,Lin-Manuel Miranda
0PFtn5NtBbbUNbU9EAmIWF,TOTO
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley
1A92IAcd7A6npCA33oGM5i,The Proclaimers
6sLwRSXSUF5JTUnQaFenyj,Christopher Jackson
0LcJLqbBmaGUft1e9Mm8HV,ABBA
0rvjqX7ttXeg3mTy8Xscbt,Journey
3cR4rhS2hBWqI7rJEBacvN,Leslie Odom Jr.
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy
1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony
5nCi3BB41mBaMH9gfr6Su0,fun.
5SbkVQYYzlw1kte75QIabH,Gnarls Barkley
6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield
7oPftvlwr6VrsViSDV7fJY,Green Day
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons
0NKDgy9j66h3DLnN8qu1bB,Eurythmics
6fC2AcsQtd9h4BWELbbire,Peach Pit
5os0Ltvz8Q8BvXOPOd1frx,Inner Circle
7EK1bQADBoqbYXnT4Cqv9w,John Denver
7KMqksf0UMdyA0UCf4R3ux,James Blunt
40oYPr305MsT2lsiXr9fX9,The Boomtown Rats
6DCIj8jNaNpBz8e5oKFPtp,The Cars
4phGZZrJZRo4ElhRtViYdl,Jason Mraz
7zsszvWNKWDrFOLt2tLC5u,The Deep Dixie Boys
5ByjU6oarxRC2Y85JpKx1n,Dan Mangan
0nAVvgfE9yI4DwvMiYwk8a,Johnny Nash
6DbJi8AcN5ANdtvJcwBSw8,Ringo Starr
4GITZM5LCR2KcdlgEOrNLD,The Foundations
62gHwaZEtHenaB124IuOW8,The Whigs
6jJ0s89eD6GaHleKKya26X,Katy Perry
32vWCbZh0xZ4o9gkz4PsEU,Dolly Parton
6LqNN22kT3074XbTVUrhzX,Kesha
2qV7axHq9Jk7QqFcB3f05A,The Zutons
43mhFhQ4JAknA7Ik1bOZuV,Pat Benatar
1GMobkghokCpLtzNx5VnK7,Konstantin Berg
79hrYiudVcFyyxyJW0ipTy,The Paper Kites
1HY2Jd0NmPuamShAr6KMms,Lady Gaga
2iE18Oxc8YSumAU232n4rW,The Jackson 5
4wQ3PyMz3WwJGI5uEqHUVR,Allman Brothers Band
7CCn4PFRRRZF127jtCBAUe,The Lovin' Spoonful
3oDbviiivRWhXwIE8hxkVV,The Beach Boys
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses
2jzc5TC5TVFLXQlBNiIUzE,a-ha
42HfTkaLEHhvmQYk6P8zgY,Creeper Lagoon
0FI0kxP0BWurTz8cB8BBug,Mark Knopfler
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi
6P7H3ai06vU1sGvdpBwDmE,Steely Dan
1r4hJ1h58CWwUQe3MxPuau,Maluma
2VIoWte1HPDbZ2WqHd2La7,The Turtles
4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony
04gDigrS5kc9YWfZHwBETP,Maroon 5
3koiLjNrgRTNbOwViDipeA,Marvin Gaye
33QmoCkSqADuQEtMCysYLh,The Archies
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson
7mEIug7XUlQHikrFxjTWes,Neil Diamond
7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder
3HQyFCFFfJO3KKBlUfZsyW,Randy Newman
2QsynagSdAqZj3U9HgDzjD,Bob Marley and The Wailers
15n12zBn1TQZirqU5823vD,Mike J. Wallace
1ThoqLcyIYvZn7iWbj8fsj,Bill Withers
5zzrJD2jXrE9dZ1AklRFcL,KT Tunstall
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan
5Pqx4mXYDGIDcg8E5FYjZ8,Carl Douglas
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC
16oZKvXb6WkQlVAjwo2Wbg,The Lumineers
6yrBBtqX2gKCHCrZOYBDrB,Peter
2DaxqgrOhkeH0fpeiQq2f4,Oasis
4AK6F7OLvEQ5QYCBNiQWHq,One Direction
3FUY2gzHeIiaesXtOAdB7A,Train
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic
0C0XlULifJtAgn6ZNCW2eu,The Killers
1K5TlQzuCSgE7bXHXrgGpp,Rocksolid
7mQilAy42MqNPqUFqK4Z0o,Umphrey's McGee
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls
1GxkXlMwML1oSg5eLPiAz3,Michael Buble
6p5JxpTc7USNnBnLzctyd4,Phillip Phillips
0hEurMDQu99nJRq8pTxO14,John Mayer
0gadJ2b9A4SKsB1RFkBb66,Passenger
1g1yxsNVPhMUl9GrMjEb2o,Plain White T's
0TnOYISbd1XYRBk9myaseg,Pitbull
35GL8Cu2GKTcHzKGi75xl5,Jennifer Hudson
0MlOPi3zIDMVrfA9R04Fe3,American Authors
1VcbchGlIfo3Gylxc3F076,Cold Chisel
3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson
5nLYd9ST4Cnwy6NHaCxbj8,CeeLo Green
3Ayl7mCk0nScecqOzvNp6s,Jimmy Eat World
4STHEaNw4mPZ2tzheohgXB,Paul McCartney
4lxfqrEsLX6N1N4OCSkILp,Phil Collins
2ysnwxxNtSgbb9t1m2Ur4j,George Ezra
0dEvJpkqhrcn64d3oI8v79,Barenaked Ladies
7giUHu5pv6YTZgSkxxCcgh,Edward Sharpe and The Magnetic Zeros
6DIS6PRrLS3wbnZsf7vYic,WALK THE MOON
0vEsuISMWAKNctLlUAhSZC,Counting Crows
59hLmB5DrdihCYtNeFeW1U,Glen Campbell
15cfE4nzURJUvrUyqsrMuF,Jim Sturgess
6MUxF4ehonXZ8Q6YMFI2xb,Barry Louis Polisar
34XlPCFfB4vT7P1ekWq9Jc,Guster
3iDD7bnsjL9J4fO298r0L0,Chicago
6xeFne1rkxMhKSW3ipvkdV,Toploader
18Zv2g2vUcEGqJf6WnjfXN,Brandon Flowers
6aZyMrc4doVtZyKNilOmwu,Colbie Caillat
0LsTFjEB1IIrh7IlTxs1GY,Phantom Planet
6wXjctGBzxkT0ghwfQ8FC0,The High Kings
0P0do9GwiSgweSF6Ui3mrv,Nathan Lane
25IG9fa7cbdmCIy3OnuH57,The Chicks
2TI7qyDE0QfyOlnbtfDo7L,Dave Matthews Band
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra
4YgACLaoEjPl4kVZ5WmBN9,Jerry Douglas
4OqDaxbU5qV78AIr6HneTn,Matt the Electrician
0afemm9P2Bb2LL99xHY32n,Bernard Fanning
39x8gyJjTHiBQklFgVJSV4,Eric Hutchinson
0aeLcja6hKzb7Uz2ou7ulP,Noah And The Whale
2jI9rHOuUAPJEULovOfgyB,Lazlo Bane
2qc41rNTtdLK0tV3mJn2Pm,Ryan Adams
3ZBvLOZu5A9jtKO5XjHDTl,The Stanford Mendicants
1lpRp3LEjY5JxxmbISmtF1,Yesterdays Gone
142YBUGmLWCJigFLzgguf8,Gang of Youths
5aDR5Rxo0oeyo3iFkeCsAV,Team America DJ's
0eUVbl6fC6fVsT7xnkSzVJ,Katrina
3Y10boYzeuFCJ4Qgp53w6o,Scissor Sisters
1mHuZMOP8FG5ip4yAb1vrB,Michael Franti and Spearhead
7dnB1wSxbYa8CejeVg98hz,Meat Loaf
196lKsA13K3keVXMDFK66q,The Avett Brothers
66QeIFuFJDNCImNHlFzrY1,Starland Vocal Band
1HvcqyRLS9nF8hAbTWOqpr,Dan Hartman
1hU9owUK1dhuRPsmnZL1Cr,Franky Dee
