Track URI,Track Name,Artist URI,Artist Name,Album URI,Album Name,Album Release Date,Track Duration (ms),Track Preview URL,Popularity,Added At,Playlist URI,Playlist Name,Added By
1GM34ehWYHU7v86YhaBEnc,Melting Sun IV: Jade Fields,1cbBzQxiKcZCsit68iTbTJ,Lantlos,214nf2L35OVQLhX7yUyfKQ,Melting Sun,2014-05-02,389026,,0,2023-01-28 21:28:34,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,pikapi2323
47Au9gs4EFabXhFVBTg6Xk,Imagination,4hkHAVlTVsZxt1CwaKlNVk,iGerman,2c4cBfQgxCqw0FSM0Ti0XV,Imagination,2020-06-07,178536,https://p.scdn.co/mp3-preview/3b338d8fee8608e4cfda681e932fc6d1c86ecbe8?cid=9950ac751e34487dbbe027c4fd7f8e99,29,2023-01-28 21:28:44,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,pikapi2323
7kPvCfSOkLEs95dcd7G6EO,Isolate,3OsRAKCvk37zwYcnzRf5XF,Moby,1GzCmHwV9EIjXxK7E3spXl,Wait For Me,2009-06-26,208346,,0,2023-01-28 21:28:49,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,pikapi2323
4GoOvxHNNv6jb13HUpxSjN,Ocarina of Time - Song of Storms (Instrumental Remix),0fagNxnyvy6FDvkNPt6X29,Monsalve,7eAJgISHqRsXGToqU6R1s3,The Legend of Zelda - Ocarina of Time (Mastered),2012-08-09,123433,https://p.scdn.co/mp3-preview/61c5a898ed0dc220a93f573b3113965d9bedf21d?cid=9950ac751e34487dbbe027c4fd7f8e99,28,2023-01-28 21:28:53,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,pikapi2323
1yxPTjkJXaNUYafPWPIjRx,The Lure (Interlude),7E7fJJpdVgr1F3pfAfRtHe,Cult Of Luna,51fF4JNsyx99YAWixRgmVh,Eternal Kingdom,1905-06-30,153520,https://p.scdn.co/mp3-preview/6b3832828180a0c266f99ef2b4e685f02c6a8e6c?cid=9950ac751e34487dbbe027c4fd7f8e99,15,2023-01-28 21:29:02,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,pikapi2323
3JxhxXiiNwYnkT0f9KxQSp,Oriana,7CGrRQY8pl3vY1wqoF4WMZ,Roger Zarzour,4HkJY32VqysPCNIrcYe46J,Oriana,2018-01-08,162507,https://p.scdn.co/mp3-preview/d1ad97049376f36bd6af14bb91f787853acd10b0?cid=9950ac751e34487dbbe027c4fd7f8e99,30,2023-01-28 21:29:08,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,pikapi2323
1tiiHf6ThJYFzSIa3G9T3f,Lavender Town (from Pokemon Red and Blue),0Vb15td3iKkAzdGD5Sj9Ky,NateWantsToBattle,1vCADALmxMqwx66tha2Cb5,Lavender Town (from Pokemon Red and Blue),2014-02-14,162632,,0,2023-01-28 21:30:03,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,pikapi2323
75X06gigiYgGr0e6GEXCkC,Sacred Grove,2dB3VxAmEw5Dqewiha1oO1,The Greatest Bits,6OQXBWSqBHF8A0VfOXG2Xh,The Legend of Zelda: The Twilight Princess,2014-12-02,156595,,0,2023-01-28 21:30:09,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,pikapi2323
2CsaQOpd5YeXkCHwi6H6CU,Lavender Town,2QwCbOdVcxKTWMTjsCCyQ1,CYBRPNK,6JtdtwTIt1rZ5TEbvxzaUC,Lavender Town,2018-11-08,289322,https://p.scdn.co/mp3-preview/6970444a40355033c1906f013726e2eb79cd6326?cid=9950ac751e34487dbbe027c4fd7f8e99,14,2023-01-28 21:30:20,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,pikapi2323
1q6of8MARmRLg8xIjexscd,2 Nocturnes Op. 55: I. Andante,7y97mc3bZRFXzT2szRM4L4,Frederic Chopin,2EJIGjaVFq9PKinjyA9yOn,Chopin: Complete Nocturnes,2010-06-22,325360,https://p.scdn.co/mp3-preview/ebac6bbedf371f8075e1ab38a36ccfb791836ba0?cid=9950ac751e34487dbbe027c4fd7f8e99,31,2023-01-28 21:30:25,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,pikapi2323
0pQskrTITgmCMyr85tb9qq,Starman - 2012 Remaster,0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,48D1hRORqJq52qsnUYZX56,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),1972-06-06,254293,https://p.scdn.co/mp3-preview/2e8bf798b95dc3d0a3770c2e7c694f5a23be6455?cid=9950ac751e34487dbbe027c4fd7f8e99,74,2023-01-28 21:30:32,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,pikapi2323
3ZE3wv8V3w2T2f7nOCjV0N,Life on Mars? - 2015 Remaster,0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,6fQElzBNTiEMGdIeY0hy5l,Hunky Dory (2015 Remaster),1971-12-17,235986,https://p.scdn.co/mp3-preview/d1ad0ad24a8797b4f90eaaa72c95e1df58921a70?cid=9950ac751e34487dbbe027c4fd7f8e99,69,2023-01-28 21:30:36,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,pikapi2323
6AvslIXIi9iaGvukefyVVK,Bottom Of The Deep Blue Sea,2HOMW1liAxI3URnEq95SMS,MISSIO,08iSi4GIyoDt2zSvNyru7M,Loner,2017-05-19,231586,https://p.scdn.co/mp3-preview/5e092af47e334c60a74ab90790d9699ad4d0c8c1?cid=9950ac751e34487dbbe027c4fd7f8e99,55,2023-01-28 21:30:48,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,pikapi2323
7mkhO3jgCK661WADDkmNHx,Hole,2S5hlvw4CMtMGswFtfdK15,Royal Blood,5EN2Buchl53OWxtlQvz4GF,Hole,2014-08-25,271075,https://p.scdn.co/mp3-preview/e281b8e82120390ddf8283cd441481687f29102e?cid=9950ac751e34487dbbe027c4fd7f8e99,32,2023-01-28 21:36:32,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,1jgsiws2nx9yrbp16pqpdu1dq
252T5dAokvMiNzXZchojoH,Bath Salts,2pqd3HsfsvcBGtHvPOg6eg,Highly Suspect,7wGLeeJt18EBjc181FP2cM,Mister Asylum,2015-07-17,239813,https://p.scdn.co/mp3-preview/74907f034a2530a52f8bd901f222d7abbc94e3ce?cid=9950ac751e34487dbbe027c4fd7f8e99,53,2023-01-28 21:36:37,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,1jgsiws2nx9yrbp16pqpdu1dq
3dgyDSKfzaNBtlZuUxc8IW,Last Train to Clarksville,320EPCSEezHt1rtbfwH6Ck,The Monkees,338yWfNJWW2SXxVfIdczUD,The Best of The Monkees,1905-06-25,166173,https://p.scdn.co/mp3-preview/313dc62237abce145d7b2c12b5a988ed41443627?cid=9950ac751e34487dbbe027c4fd7f8e99,37,2023-01-28 21:36:39,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,cyberdog068
68DKrU7sTyDpDA5T3dsOlk,You Think I Aint Worth A Dollar But I Feel Like A Millionaire,4pejUc4iciQfgdX6OKulQn,Queens of the Stone Age,58HZZpS0wxJKwGjoerg0mk,Songs For The Deaf,1905-06-24,192573,https://p.scdn.co/mp3-preview/ad4ce9b487ab32c89a1e1d9f54eb53e8da12d8e5?cid=9950ac751e34487dbbe027c4fd7f8e99,51,2023-01-28 21:36:42,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,1jgsiws2nx9yrbp16pqpdu1dq
3miMeSGd7rzJEtuhQnzm0f,BAE BAE,4Kxlr1PRlDKEB0ekOCyHgX,BIGBANG,2SPrl8C8pgSM5gXbAiyJHY,MADE,2016-12-13,169429,https://p.scdn.co/mp3-preview/11860c22667721598fb761effe6cc123fc2bb55f?cid=9950ac751e34487dbbe027c4fd7f8e99,53,2023-01-28 21:36:51,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,1jgsiws2nx9yrbp16pqpdu1dq
24UUm3hRRZvyPyasjgtHQ0,Party Feel Love (Feat. DAWN),3UwlejyX2b458azZ7eCnHb,HyunA,6DRfmdNDiTsTVACn9gavR0,I'm Not Cool,2021-01-28,209560,https://p.scdn.co/mp3-preview/b5a4bc9933272f078043ab4ae593a1f1215eeb83?cid=9950ac751e34487dbbe027c4fd7f8e99,44,2023-01-28 21:36:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,1jgsiws2nx9yrbp16pqpdu1dq
1YAVDa061B6lcNR5S2FVKR,Words Don't Come Easy,0XATRDCYuuGhk0oE7C0o5G,MAMAMOO,5FWFzgv8irO6Rrs3CAJ4L9,Melting,2016-02-26,236145,,0,2023-01-28 21:37:13,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,1jgsiws2nx9yrbp16pqpdu1dq
0VE4kBnHJUgtMf0dy6DRmW,Getaway Car,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,233626,https://p.scdn.co/mp3-preview/bb99449486b3ca0b7bd59c2e22f7203efe2692fb?cid=9950ac751e34487dbbe027c4fd7f8e99,77,2023-01-28 21:37:24,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,1jgsiws2nx9yrbp16pqpdu1dq
6wOYnPq1hPihRepcDClPUw,Meet Me Halfway,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,3lng6RAtdksQ2q02Fk5jaB,THE E.N.D. (THE ENERGY NEVER DIES),2009-01-01,284373,https://p.scdn.co/mp3-preview/8fee7a90ffa591aa42438928575df0b1348f4387?cid=9950ac751e34487dbbe027c4fd7f8e99,66,2023-01-28 21:37:31,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,1jgsiws2nx9yrbp16pqpdu1dq
76N7FdzCI9OsiUnzJVLY2m,Rumour Has It,4dpARuHxo51G3z768sgnrY,Adele,1azUkThwd2HfUDdeNeT147,21,2011-01-19,221426,,0,2023-01-28 21:37:34,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,1276727594
3CKCZ9pfwAfoMZlMncA1Nc,Set Fire to the Rain,4dpARuHxo51G3z768sgnrY,Adele,1azUkThwd2HfUDdeNeT147,21,2011-01-19,241693,,0,2023-01-28 21:37:38,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,1276727594
1SveOKrBFiyneSj3Pd5Sup,Stayin Alive,1e16kiJQtCTveTl7TQnkFN,Scary Pockets,1pl9uWuNFtZ3eBcSpnmL9r,Stank Face,2023-01-13,189845,https://p.scdn.co/mp3-preview/56552abc5fbd9862c1853e7955ecec6d704c6cb3?cid=9950ac751e34487dbbe027c4fd7f8e99,37,2023-01-28 21:37:40,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,cyberdog068
